"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
22.9	133	972	974	967	3	0	3	0	2	1	1	0	4	4	0	0
23.	131	968	970	963	0	0	1	1	2	3	1	1	3	3	2	2
23.1	129	966	978	973	2	0	0	1	1	0	1	1	0	2	1	0
23.2	129	977	969	973	3	0	0	1	0	1	0	0	0	0	0	1
23.3	134	977	971	969	1	0	1	3	2	1	1	0	2	0	1	1
23.4	133	978	964	972	0	2	2	2	0	3	2	0	0	3	1	0
23.5	134	973	976	974	0	0	1	0	1	0	0	0	0	2	0	0
23.6	133	977	962	971	0	2	1	1	1	0	2	1	2	2	0	0
23.7	133	975	969	970	1	0	1	0	1	1	3	2	0	2	1	1
23.8	137	971	969	969	1	0	0	0	2	2	2	0	0	1	2	0
23.9	137	968	974	966	2	1	2	2	3	1	2	2	1	0	1	0
24.	138	971	967	975	0	1	1	1	0	0	0	1	0	1	1	0
24.1	138	976	976	971	2	1	0	1	0	1	1	0	0	1	0	2
24.2	138	968	971	974	1	1	3	1	0	1	0	1	1	2	0	1
24.3	136	972	975	972	1	0	1	0	1	0	0	1	3	1	1	2
24.4	134	973	966	971	4	2	3	1	0	0	1	1	1	0	1	1
24.5	137	974	968	967	0	0	0	1	3	1	4	1	1	0	1	2
24.6	136	969	968	972	0	0	2	1	2	0	0	1	1	3	2	0
24.7	134	971	967	968	1	0	1	0	2	3	2	2	0	1	0	1
24.8	130	965	979	973	1	0	1	0	0	1	2	1	0	1	0	2
24.9	129	976	976	974	0	1	1	1	1	0	1	0	0	0	1	1
25.	132	970	965	973	2	3	2	0	0	2	1	2	3	1	1	0
25.1	130	980	969	975	2	0	1	0	0	1	0	0	1	1	1	0
25.2	129	974	973	971	0	0	0	1	0	0	1	0	0	1	2	0
25.3	130	970	973	969	1	1	2	1	2	0	0	1	2	0	0	0
25.4	128	969	973	968	1	1	0	3	0	1	1	4	1	0	0	1
25.5	132	965	974	981	1	1	0	0	0	0	2	1	2	1	2	1
25.6	135	977	967	963	0	1	1	0	1	1	3	0	1	1	1	2
25.7	137	966	968	972	3	3	2	2	1	0	0	2	2	0	3	1
25.8	139	972	970	973	0	3	0	0	1	0	1	0	0	0	0	1
25.9	139	980	975	971	0	0	1	1	0	0	1	0	1	1	3	3
26.	141	976	974	968	2	1	1	0	2	1	0	1	2	0	0	1
26.1	142	971	971	966	0	0	0	1	1	1	1	1	0	1	0	1
26.2	142	976	975	969	0	1	0	1	0	2	0	2	0	2	1	0
26.3	143	973	971	972	0	1	1	0	1	2	0	0	2	4	1	0
26.4	145	970	976	971	1	1	1	2	0	0	0	2	1	1	0	0
26.5	142	969	970	974	2	1	2	1	3	3	0	1	0	0	0	0
26.6	144	974	974	965	2	3	0	1	0	1	1	0	0	0	1	2
26.7	147	972	966	974	2	0	0	0	0	2	0	0	0	0	1	2
26.8	148	969	979	974	2	0	2	3	1	1	0	1	0	0	1	0
26.9	144	976	976	976	0	2	0	1	1	1	0	0	1	3	0	1
27.	149	968	973	974	2	0	1	1	0	2	0	2	0	0	0	3
27.1	148	972	970	972	2	2	3	3	1	1	0	1	1	2	1	1
27.2	146	969	970	973	1	0	1	1	1	0	1	2	0	1	3	1
27.3	145	970	974	966	1	1	1	1	0	2	3	1	1	0	1	0
27.4	146	976	966	974	1	1	1	1	1	1	0	0	2	1	2	0
27.5	147	970	972	977	2	0	0	1	1	0	1	0	1	1	1	0
27.6	147	967	970	968	2	1	1	1	4	0	2	1	2	1	0	1
27.7	150	975	976	973	1	3	0	0	4	2	1	1	0	1	1	0
27.8	145	969	974	969	0	2	0	1	0	1	0	2	1	0	0	0
27.9	145	966	972	970	0	0	4	1	1	0	2	1	0	0	0	1
28.	144	969	969	977	1	1	0	0	0	2	0	1	2	0	2	0
28.1	143	971	970	965	4	1	2	1	3	1	1	0	1	1	0	0
28.2	147	975	969	969	2	1	1	2	1	1	0	0	1	1	0	2
28.3	150	966	974	968	0	0	1	1	2	2	1	1	0	1	1	1
28.4	145	972	972	971	0	1	1	1	0	1	3	1	1	2	1	1
28.5	149	973	969	971	2	0	1	1	2	1	0	0	2	1	3	0
28.6	146	966	972	969	0	1	1	1	1	1	1	3	2	0	1	0
